Nome file,Dimensione,Cartella Diretta,Cartella Base,HDD
Ballers.S03E08.Alley-Oops.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,850MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E09.Crackback.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,676MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S03E10.Yay.Area.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,870MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E01.Rough.Ride.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,963MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E02.Don't.You.Wanna.Be.Obama.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,983MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E03.This.Is.Not.Our.World.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,1.0GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E04.Forgiving.is.Living.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,881MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E05.Doink.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,1004MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E06.No.Small.Talk.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,1.1GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E07.The.Kids.are.Aight.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,1.0GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S04E08.The.Devil.You.Know.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv,922MB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
"Ballers.S04E09.There's.No.Place.Like.Home,.Baby.1080p.10bit.BluRay.AAC5.1.HEVC.ITA-ENG.mkv",1.1GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E01.Il.protocollo.e.da.perdenti.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,1.9GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E02.Devono.essere.le.scarpe.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,1.6GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E03.La.maledizione.di.Copernico.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,1.7GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E04.Municipal.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,2.0GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E05.Crumbs.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,1.9GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E06.Edutainment.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,1.9GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E07.Chi.vuole.un.lecca.lecca.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,1.7GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Ballers.S05E08.Per.i.giocatori.ITA.ENG.1080p.AMZN.WEB-DLMux.H.264-Morpheus.mkv,2.1GB,Ballers S01-S05 1080p BDMux ITA-ENG,SERIE TV,Arietty
Batman - Batman la maschera del fantasma (1993 - BDrip 1080p x264 - Ita AC3 Eng DTS - Softsub Ita Eng) [Mux By Pippomix72].mkv,8.0GB,ANIMAZIONE DC COMICS,CARTONI ANIMATI,Arietty
Batman - Batman Ninja (2018 - BDRip 1080p x264 - Ita Jap Eng AC3 - SoftSub Ita Jap Eng)[Mux By Pippomix72 T7ST].mkv,7.1GB,ANIMAZIONE DC COMICS,CARTONI ANIMATI,Arietty
Batman - Batman vs Dracula (2005 - BDRip 1080p x264 - Ita Eng AC3 - SoftSub Eng) [Mux By Pippomix72 T7ST].mkv,4.8GB,ANIMAZIONE DC COMICS,CARTONI ANIMATI,Arietty
Batman - Il cavaliere di Gotham (2008 Gotham Knight - BDRip 1080p x264 - Ita Eng AC3 - SoftSub Ita Eng) [Mux By Pippomix72 T7ST].mkv,4.6GB,ANIMAZIONE DC COMICS,CARTONI ANIMATI,Arietty
Batman - Il ritorno del Crociato Incappucciato (2016 - 1080p BDRip x264 - Ita AC3 Eng DTS - SoftSub Eng) [Mux By Pippomix72 T7ST].mkv,4.6GB,ANIMAZIONE DC COMICS,CARTONI ANIMATI,Arietty
Batman - La maschera del Fantasma (1993).mkv,3.6GB,ANIMAZIONE DC COMICS,CARTONI ANIMATI,Arietty
Batman - The Animated Series S01E01 - L'Uomo Pipistrello - [Bluray-1080p x265] [AC3 2.0].mkv,256MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E02 - Buon Natale - [Bluray-1080p x265] [AC3 2.0].mkv,307MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E03 - Niente Da Temere - [Bluray-1080p x265] [AC3 2.0].mkv,307MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E04 - Pesce D'aprile - [Bluray-1080p x265] [AC3 2.0].mkv,328MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E05 - Amore Venefico - [Bluray-1080p x265] [AC3 2.0].mkv,317MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E06 - Gli Abitanti Sotterranei - [Bluray-1080p x265] [AC3 2.0].mkv,287MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E07 - La Retata - [Bluray-1080p x265] [AC3 2.0].mkv,266MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E08 - I Dimenticati - [Bluray-1080p x265] [AC3 2.0].mkv,297MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E09 - Il Mago - [Bluray-1080p x265] [AC3 2.0].mkv,369MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E10 - Doppia Personalità Prima Parte - [Bluray-1080p x265] [AC3 2.0].mkv,307MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E11 - Doppia Personalità Seconda Parte - [Bluray-1080p x265] [AC3 2.0].mkv,328MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E12 - Non E' Mai Troppo Tardi - [Bluray-1080p x265] [AC3 2.0].mkv,246MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E13 - C'è Batman Giù In Cantina - [Bluray-1080p x265] [AC3 2.0].mkv,266MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E14 - Cuore Di Ghiaccio - [Bluray-1080p x265] [AC3 2.0].mkv,348MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E15 - Gli Artigli Di Catwoman Prima Parte - [Bluray-1080p x265] [AC3 2.0].mkv,236MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E16 - Gli Artigli Di Catwoman Seconda Parte - [Bluray-1080p x265] [AC3 2.0].mkv,266MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E17 - Un Padre Invisibile - [Bluray-1080p x265] [AC3 2.0].mkv,287MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E18 - Attenti Al Fantasma Grigio - [Bluray-1080p x265] [AC3 2.0].mkv,246MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E19 - Previsioni Profetiche - [Bluray-1080p x265] [AC3 2.0].mkv,307MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E20 - L'uomo D'argilla Prima Parte - [Bluray-1080p x265] [AC3 2.0].mkv,266MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E21 - L'uomo D'argilla Seconda Parte - [Bluray-1080p x265] [AC3 2.0].mkv,338MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E22 - Un piccolo favore - [Bluray-1080p x265] [AC3 2.0].mkv,317MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E23 - Vendetta - [Bluray-1080p x265] [AC3 2.0].mkv,287MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E24 - Paura Vi Vincere - [Bluray-1080p x265] [AC3 2.0].mkv,287MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E25 - Il Maniaco Degli Orari - [Bluray-1080p x265] [AC3 2.0].mkv,307MB,Season 1,Batman - The Animated Series,Arietty
Batman - The Animated Series S01E26 - Appuntamento con il crimine - [Bluray-1080p x265] [AC3 2.0].mkv,276MB,Season 1,Batman - The Animated Series,Arietty
